id	name	location	date
1	1950 British Grand Prix	Silverstone Circuit, Silverstone, England	1950-05-13
2	1950 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1950-05-21
3	1950 Indianapolis 500	Indianapolis Motor Speedway, Speedway, Indiana, USA	1950-05-30
4	1950 Swiss Grand Prix	Bremgarten Circuit, Bern, Switzerland	1950-06-04
5	1950 Belgian Grand Prix	Circuit de Spa-Francorchamps, Spa, Belgium	1950-06-18
6	1950 French Grand Prix	Reims-Gueux Circuit, Gueux, France	1950-07-02
7	1950 Italian Grand Prix	Autodromo Nazionale di Monza, Monza, Italy	1950-09-03
8	1951 Swiss Grand Prix	Bremgarten Circuit, Berne, Switzerland	1951-06-27
9	1951 Indianapolis 500	Indianapolis Motor Speedway, Speedway, Indiana, USA	1951-05-30
10	1951 Belgian Grand Prix	Spa-Francorchamps circuit, Spa, Belgium	1951-07-18
11	1951 French Grand Prix	Reims-Gueux Circuit, Reims, France	1951-07-01
12	1951 British Grand Prix	Silverstone Circuit, Silverstone, Great Britain	1951-07-14
13	1951 German Grand Prix	Nürburgring, Nürburg, Germany	1951-07-29
14	1951 Italian Grand Prix	Circuito di Monza, Monza, Italy	1951-09-16
15	1951 Spanish Grand Prix	Pedralbes Circuit, Barcelona, Spain	1951-10-28
16	1952 Swiss Grand Prix	Bremgarten Circuit, Berne, Switzerland	1952-06-22
17	1952 Indianapolis 500	Indianapolis Motor Speedway, Speedway, Indiana, USA	1952-05-30
18	1952 Belgian Grand Prix	Spa-Francorchamps circuit, Spa, Belgium	1952-06-22
19	1952 French Grand Prix	Rouen-Les-Essarts Circuit, Rouen, France	1952-07-06
20	1952 British Grand Prix	Silverstone Circuit, Silverstone, Great Britain	1952-07-19
21	1952 German Grand Prix	Nürburgring, Nürburg, Germany	1952-08-03
22	1952 Dutch Grand Prix	Zandvoort Circuit, Zandvoort, Netherlands	1952-08-17
23	1952 Italian Grand Prix	Circuito di Monza, Monza, Italy	1952-09-07
24	1953 Argentine Grand Prix	Autódromo 17 de Octubre, Buenos Aires, Argentina	1953-01-18
25	1953 Indianapolis 500	Indianapolis Motor Speedway, Speedway, Indiana, USA	1953-05-30
26	1953 Dutch Grand Prix	Zandvoort Circuit, Zandvoort, Netherlands	1953-06-07
27	1953 Belgian Grand Prix	Spa-Francorchamps circuit, Spa, Belgium	1953-06-21
28	1953 French Grand Prix	Reims-Gueux Circuit, Reims, France	1953-07-05
29	1953 British Grand Prix	Silverstone Circuit, Silverstone, Great Britain	1953-07-18
30	1953 German Grand Prix	Nürburgring, Nürburg, Germany	1953-08-02
31	1953 Swiss Grand Prix	Bremgarten Circuit, Berne, Switzerland	1953-08-23
32	1953 Italian Grand Prix	Circuito di Monza, Monza, Italy	1953-09-13
33	1954 Argentine Grand Prix	Autódromo 17 de Octubre, Buenos Aires, Argentina	1954-01-17
34	1954 Indianapolis 500	Indianapolis Motor Speedway, Speedway, Indiana, USA	1954-05-31
35	1954 Belgian Grand Prix	Spa-Francorchamps circuit, Spa, Belgium	1954-06-20
36	1954 French Grand Prix	Reims-Gueux Circuit, Reims, France	1954-07-04
37	1954 British Grand Prix	Silverstone Circuit, Silverstone, Great Britain	1954-07-17
38	1954 German Grand Prix	Nürburgring, Nürburg, Germany	1954-08-01
39	1954 Swiss Grand Prix	Bremgarten Circuit, Berne, Switzerland	1954-08-22
40	1954 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1954-09-05
41	1954 Spanish Grand Prix	Pedralbes Circuit, Barcelona, Spain	1954-10-24
42	1955 Argentine Grand Prix	Autódromo 17 de Octubre, Buenos Aires, Argentina	1955-01-16
43	1955 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1955-05-22
44	1955 Indianapolis 500	Indianapolis Motor Speedway, Speedway, Indiana, USA	1955-05-30
45	1955 Belgian Grand Prix	Circuit de Spa-Francorchamps, Spa, Belgium	1955-06-05
46	1955 Dutch Grand Prix	Circuit Zandvoort, Zandvoort, Netherlands	1955-06-19
47	1955 British Grand Prix	Aintree Circuit, Aintree, Great Britain	1955-07-16
48	1955 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1955-09-11
49	1956 Argentine Grand Prix	Autódromo 17 de Octubre, Buenos Aires, Argentina	1956-01-22
50	1956 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1956-05-13
51	1956 Indianapolis 500	Indianapolis Motor Speedway, Speedway, Indiana, USA	1956-05-30
52	1956 Belgian Grand Prix	Circuit de Spa-Francorchamps, Spa, Belgium	1956-06-03
53	1956 French Grand Prix	Reims-Gueux Circuit, Reims, France	1956-06-24
54	1956 British Grand Prix	Silverstone Circuit, Silverstone, Great Britain	1956-07-14
55	1956 German Grand Prix	Nürburgring, Nürburg, Germany	1956-08-05
56	1956 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1956-09-02
57	1957 Argentine Grand Prix	Autódromo 17 de Octubre, Buenos Aires, Argentina	1957-01-13
58	1957 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1957-05-19
59	1957 Indianapolis 500	Indianapolis Motor Speedway, Speedway, Indiana, USA	1957-05-30
60	1957 French Grand Prix	Rouen-Les-Essarts Circuit, Rouen, France	1957-07-07
61	1957 British Grand Prix	Aintree Circuit, Aintree, Great Britain	1957-07-20
62	1957 German Grand Prix	Nürburgring, Nürburg, Germany	1957-08-04
63	1957 Pescara Grand Prix	Circuito di Pescara, Pescara, Italy	1957-08-18
64	1957 Italian Grand Prix	Monza Circuit, Monza, Italy	1957-09-08
65	1958 Argentine Grand Prix	Autódromo 17 de Octubre, Buenos Aires, Argentina	1958-01-19
66	1958 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1958-05-11
67	1958 Dutch Grand Prix	Circuit Zandvoort, Zandvoort, Netherlands	1958-05-25
68	1958 Indianapolis 500	Indianapolis Motor Speedway, Speedway, Indiana, USA	1958-05-30
69	1958 Belgian Grand Prix	Circuit de Spa-Francorchamps, Spa, Belgium	1958-06-08
70	1958 French Grand Prix	Reims-Gueux Circuit, Reims, France	1958-06-29
71	1958 British Grand Prix	Silverstone Circuit, Silverstone, Great Britain	1958-07-19
72	1958 German Grand Prix	Nürburgring, Nürburg, Germany	1958-08-03
73	1958 Portuguese Grand Prix	Circuito Vasco Sameiro, Porto, Portugal	1958-08-24
74	1958 Italian Grand Prix	Monza Circuit, Monza, Italy	1958-09-07
75	1958 Moroccan Grand Prix	Ain-Diab Circuit, Casablanca, Morocco	1958-10-19
76	1959 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1959-05-10
77	1959 Indianapolis 500	Indianapolis Motor Speedway, Speedway, Indiana, USA	1959-05-30
78	1959 Dutch Grand Prix	Circuit Zandvoort, Zandvoort, Netherlands	1959-05-31
79	1959 French Grand Prix	Reims-Gueux Circuit, Reims, France	1959-06-07
80	1959 British Grand Prix	Aintree Circuit, Aintree, Great Britain	1959-07-18
81	1959 German Grand Prix	AVUS, Berlin, Germany	1959-08-02
82	1959 Portuguese Grand Prix	Circuito Vasco Sameiro, Porto, Portugal	1959-08-23
83	1959 Italian Grand Prix	Monza Circuit, Monza, Italy	1959-09-13
84	1959 United States Grand Prix	Sebring International Raceway, Sebring, Florida, USA	1959-12-12
85	1960 Argentine Grand Prix	Autódromo Oscar Alfredo Gálvez, Buenos Aires, Argentina	1960-01-07
86	1960 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1960-05-29
87	1960 Indianapolis 500	Indianapolis Motor Speedway, Speedway, Indiana, USA	1960-05-30
88	1960 Dutch Grand Prix	Circuit Zandvoort, Zandvoort, Netherlands	1960-06-06
89	1960 Belgian Grand Prix	Circuit de Spa-Francorchamps, Spa, Belgium	1960-06-19
90	1960 French Grand Prix	Reims-Gueux Circuit, Reims, France	1960-07-03
91	1960 British Grand Prix	Silverstone Circuit, Silverstone, Great Britain	1960-07-16
92	1960 Portuguese Grand Prix	Circuito da Boavista, Porto, Portugal	1960-08-14
93	1960 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1960-09-04
94	1960 United States Grand Prix	Riverside International Raceway, Riverside, California, USA	1960-10-23
95	1961 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1961-05-14
96	1961 Dutch Grand Prix	Circuit Zandvoort, Zandvoort, Netherlands	1961-05-22
97	1961 Belgian Grand Prix	Circuit de Spa-Francorchamps, Spa, Belgium	1961-06-18
98	1961 French Grand Prix	Reims-Gueux Circuit, Reims, France	1961-07-02
99	1961 British Grand Prix	Aintree Circuit, Aintree, Great Britain	1961-07-15
100	1961 German Grand Prix	Nürburgring, Nürburg, Germany	1961-07-30
101	1961 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1961-09-10
102	1961 United States Grand Prix	Watkins Glen International, Watkins Glen, New York, USA	1961-10-08
103	1962 Dutch Grand Prix	Circuit Zandvoort, Zandvoort, Netherlands	1962-05-20
104	1962 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1962-06-03
105	1962 Belgian Grand Prix	Circuit de Spa-Francorchamps, Spa, Belgium	1962-06-17
106	1962 French Grand Prix	Rouen-Les-Essarts Circuit, Rouen, France	1962-07-08
107	1962 British Grand Prix	Aintree Circuit, Aintree, Great Britain	1962-07-21
108	1962 German Grand Prix	Nürburgring, Nürburg, Germany	1962-08-05
109	1962 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1962-09-16
110	1962 United States Grand Prix	Watkins Glen International, Watkins Glen, New York, USA	1962-10-07
111	1962 South African Grand Prix	Prince George Circuit, East London, South Africa	1962-12-29
112	1963 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1963-05-26
113	1963 Belgian Grand Prix	Circuit de Spa-Francorchamps, Spa, Belgium	1963-06-09
114	1963 Dutch Grand Prix	Circuit Zandvoort, Zandvoort, Netherlands	1963-06-23
115	1963 French Grand Prix	Reims-Gueux Circuit, Reims, France	1963-07-07
116	1963 British Grand Prix	Silverstone Circuit, Silverstone, Great Britain	1963-07-20
117	1963 German Grand Prix	Nürburgring, Nürburg, Germany	1963-08-04
118	1963 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1963-09-08
119	1963 United States Grand Prix	Watkins Glen International, Watkins Glen, New York, USA	1963-10-06
120	1963 Mexican Grand Prix	Magdalena Mixhuca Circuit, Mexico City, Mexico	1963-10-27
121	1963 South African Grand Prix	Prince George Circuit, East London, South Africa	1963-12-28
122	1964 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1964-05-10
123	1964 Dutch Grand Prix	Circuit Zandvoort, Zandvoort, Netherlands	1964-05-24
124	1964 Belgian Grand Prix	Circuit de Spa-Francorchamps, Spa, Belgium	1964-06-07
125	1964 French Grand Prix	Rouen-Les-Essarts Circuit, Rouen, France	1964-06-28
126	1964 British Grand Prix	Brands Hatch Circuit, Kent, Great Britain	1964-07-11
127	1964 German Grand Prix	Nürburgring, Nürburg, Germany	1964-08-02
128	1964 Austrian Grand Prix	Zeltweg Airfield, Zeltweg, Austria	1964-08-23
129	1964 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1964-09-06
130	1964 United States Grand Prix	Watkins Glen International, Watkins Glen, New York, USA	1964-10-04
131	1964 Mexican Grand Prix	Magdalena Mixhuca Circuit, Mexico City, Mexico	1964-11-01
132	1965 South African Grand Prix	Prince George Circuit, East London, South Africa	1965-01-01
133	1965 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1965-05-30
134	1965 Belgian Grand Prix	Circuit de Spa-Francorchamps, Spa, Belgium	1965-06-13
135	1965 French Grand Prix	Circuit de Charade, Clermont-Ferrand, France	1965-06-27
136	1965 British Grand Prix	Silverstone Circuit, Silverstone, Great Britain	1965-07-10
137	1965 Dutch Grand Prix	Circuit Zandvoort, Zandvoort, Netherlands	1965-07-17
138	1965 German Grand Prix	Nürburgring, Nürburg, Germany	1965-08-01
139	1965 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1965-09-05
140	1965 United States Grand Prix	Watkins Glen International, Watkins Glen, New York, USA	1965-10-03
141	1965 Mexican Grand Prix	Magdalena Mixhuca Circuit, Mexico City, Mexico	1965-10-24
142	1966 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1966-05-22
143	1966 Belgian Grand Prix	Circuit de Spa-Francorchamps, Spa, Belgium	1966-06-12
144	1966 French Grand Prix	Reims-Gueux Circuit, Reims, France	1966-07-03
145	1966 British Grand Prix	Brands Hatch Circuit, Kent, Great Britain	1966-07-16
146	1966 Dutch Grand Prix	Circuit Zandvoort, Zandvoort, Netherlands	1966-07-24
147	1966 German Grand Prix	Nürburgring, Nürburg, Germany	1966-08-07
148	1966 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1966-09-04
149	1966 United States Grand Prix	Watkins Glen International, Watkins Glen, New York, USA	1966-10-02
150	1966 Mexican Grand Prix	Magdalena Mixhuca Circuit, Mexico City, Mexico	1966-10-23
151	1967 South African Grand Prix	Kyalami Circuit, Midrand, South Africa	1967-01-02
152	1967 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1967-05-07
153	1967 Dutch Grand Prix	Circuit Zandvoort, Zandvoort, Netherlands	1967-06-04
154	1967 Belgian Grand Prix	Circuit de Spa-Francorchamps, Spa, Belgium	1967-06-18
155	1967 French Grand Prix	Circuit de Charade, Clermont-Ferrand, France	1967-07-02
156	1967 British Grand Prix	Silverstone Circuit, Silverstone, Great Britain	1967-07-15
157	1967 German Grand Prix	Nürburgring, Nürburg, Germany	1967-08-06
158	1967 Canadian Grand Prix	Mosport Park, Bowmanville, Ontario, Canada	1967-08-27
159	1967 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1967-09-10
160	1967 United States Grand Prix	Watkins Glen International, Watkins Glen, New York, USA	1967-10-01
161	1967 Mexican Grand Prix	Magdalena Mixhuca Circuit, Mexico City, Mexico	1967-10-22
162	1968 South African Grand Prix	Kyalami Circuit, Midrand, South Africa	1968-01-01
163	1968 Spanish Grand Prix	Circuito Permanente del Jarama, Madrid, Spain	1968-05-12
164	1968 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1968-05-26
165	1968 Belgian Grand Prix	Circuit de Spa-Francorchamps, Spa, Belgium	1968-06-09
166	1968 Dutch Grand Prix	Circuit Zandvoort, Zandvoort, Netherlands	1968-06-23
167	1968 French Grand Prix	Rouen-les-Essarts Circuit, Rouen, France	1968-07-07
168	1968 British Grand Prix	Brands Hatch Circuit, Kent, Great Britain	1968-07-20
169	1968 German Grand Prix	Nürburgring, Nürburg, Germany	1968-08-04
170	1968 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1968-09-08
171	1968 Canadian Grand Prix	Circuit Mont-Tremblant, Mont-Tremblant, Quebec, Canada	1968-09-22
172	1968 United States Grand Prix	Watkins Glen International, Watkins Glen, New York, USA	1968-10-06
173	1968 Mexican Grand Prix	Magdalena Mixhuca Circuit, Mexico City, Mexico	1968-11-03
174	1969 South African Grand Prix	Kyalami Circuit, Midrand, South Africa	1969-03-01
175	1969 Spanish Grand Prix	Circuito del Montjuïc, Barcelona, Spain	1969-05-04
176	1969 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1969-05-18
177	1969 Dutch Grand Prix	Circuit Zandvoort, Zandvoort, Netherlands	1969-06-21
178	1969 French Grand Prix	Circuit de Charade, Clermont-Ferrand, France	1969-07-06
179	1969 British Grand Prix	Silverstone Circuit, Silverstone, Great Britain	1969-07-19
180	1969 German Grand Prix	Nürburgring, Nürburg, Germany	1969-08-03
181	1969 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1969-09-07
182	1969 Canadian Grand Prix	Mosport Park, Bowmanville, Ontario, Canada	1969-09-20
183	1969 United States Grand Prix	Watkins Glen International, Watkins Glen, New York, USA	1969-10-05
184	1969 Mexican Grand Prix	Magdalena Mixhuca Circuit, Mexico City, Mexico	1969-10-19
185	1970 South African Grand Prix	Kyalami Circuit, Midrand, South Africa	1970-03-07
186	1970 Spanish Grand Prix	Circuito del Jarama, Madrid, Spain	1970-04-19
187	1970 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1970-05-10
188	1970 Belgian Grand Prix	Circuit de Spa-Francorchamps, Spa, Belgium	1970-06-07
189	1970 Dutch Grand Prix	Circuit Zandvoort, Zandvoort, Netherlands	1970-06-21
190	1970 French Grand Prix	Circuit de Charade, Clermont-Ferrand, France	1970-07-05
191	1970 British Grand Prix	Brands Hatch Circuit, Kent, Great Britain	1970-07-18
192	1970 German Grand Prix	Hockenheimring, Hockenheim, Germany	1970-08-02
193	1970 Austrian Grand Prix	Österreichring, Spielberg, Austria	1970-08-16
194	1970 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1970-09-06
195	1970 Canadian Grand Prix	Mont-Tremblant Circuit, Saint-Jovite, Quebec, Canada	1970-09-20
196	1970 United States Grand Prix	Watkins Glen International, Watkins Glen, New York, USA	1970-10-04
197	1970 Mexican Grand Prix	Magdalena Mixhuca Circuit, Mexico City, Mexico	1970-10-25
198	1971 South African Grand Prix	Kyalami Circuit, Midrand, South Africa	1971-03-06
199	1971 Spanish Grand Prix	Circuito Permanente del Jarama, Madrid, Spain	1971-04-18
200	1971 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1971-05-23
201	1971 Dutch Grand Prix	Circuit Zandvoort, Zandvoort, Netherlands	1971-06-20
202	1971 French Grand Prix	Circuit Paul Ricard, Le Castellet, France	1971-07-04
203	1971 British Grand Prix	Silverstone Circuit, Silverstone, Great Britain	1971-07-17
204	1971 German Grand Prix	Nürburgring, Nürburg, Germany	1971-08-01
205	1971 Austrian Grand Prix	Österreichring, Spielberg, Austria	1971-08-15
206	1971 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1971-09-05
207	1971 Canadian Grand Prix	Mosport Park, Bowmanville, Ontario, Canada	1971-09-19
208	1971 United States Grand Prix	Watkins Glen International, Watkins Glen, New York, USA	1971-10-03
209	1972 Argentine Grand Prix	Autódromo Oscar Alfredo Gálvez, Buenos Aires, Argentina	1972-01-23
210	1972 South African Grand Prix	Circuit Kyalami, Midrand, South Africa	1972-03-04
211	1972 Spanish Grand Prix	Circuito Permanente del Jarama, Madrid, Spain	1972-05-01
212	1972 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1972-05-14
213	1972 Belgian Grand Prix	Circuit de Spa-Francorchamps, Spa, Belgium	1972-06-04
214	1972 French Grand Prix	Circuit Paul Ricard, Le Castellet, France	1972-07-02
215	1972 British Grand Prix	Brands Hatch Circuit, Kent, Great Britain	1972-07-15
216	1972 German Grand Prix	Nürburgring, Nürburg, Germany	1972-07-30
217	1972 Austrian Grand Prix	Österreichring, Spielberg, Austria	1972-08-13
218	1972 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1972-09-10
219	1972 Canadian Grand Prix	Mosport Park, Bowmanville, Ontario, Canada	1972-09-24
220	1972 United States Grand Prix	Watkins Glen International, Watkins Glen, New York, USA	1972-10-08
221	1973 Argentinian Grand Prix	Autódromo Oscar Alfredo Gálvez, Buenos Aires, Argentina	1973-01-28
222	1973 Brazilian Grand Prix	Autódromo José Carlos Pace, Interlagos, São Paulo, Brazil	1973-02-11
223	1973 South African Grand Prix	Kyalami Circuit, Midrand, South Africa	1973-03-03
224	1973 Spanish Grand Prix	Circuito Permanente del Jarama, Madrid, Spain	1973-04-29
225	1973 Belgian Grand Prix	Circuit de Spa-Francorchamps, Spa, Belgium	1973-05-20
226	1973 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1973-06-03
227	1973 Swedish Grand Prix	Scandinavian Raceway, Anderstorp, Sweden	1973-06-17
228	1973 French Grand Prix	Circuit Paul Ricard, Le Castellet, France	1973-07-01
229	1973 British Grand Prix	Silverstone Circuit, Silverstone, Great Britain	1973-07-14
230	1973 Dutch Grand Prix	Circuit Zandvoort, Zandvoort, Netherlands	1973-07-29
231	1973 German Grand Prix	Nürburgring, Nürburg, Germany	1973-08-05
232	1973 Austrian Grand Prix	Österreichring, Spielberg, Austria	1973-08-19
233	1973 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1973-09-09
234	1973 Canadian Grand Prix	Mosport Park, Bowmanville, Ontario, Canada	1973-09-23
235	1973 United States Grand Prix	Watkins Glen International, Watkins Glen, New York, USA	1973-10-07
236	1974 Argentinian Grand Prix	Autódromo Oscar Alfredo Gálvez, Buenos Aires, Argentina	1974-01-13
237	1974 Brazilian Grand Prix	Interlagos Circuit, São Paulo, Brazil	1974-02-24
238	1974 South African Grand Prix	Kyalami Circuit, Midrand, South Africa	1974-03-30
239	1974 Spanish Grand Prix	Circuito Permanente del Jarama, Madrid, Spain	1974-04-28
240	1974 Belgian Grand Prix	Circuit de Spa-Francorchamps, Spa, Belgium	1974-05-12
241	1974 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1974-05-26
242	1974 Swedish Grand Prix	Scandinavian Raceway, Anderstorp, Sweden	1974-06-09
243	1974 Dutch Grand Prix	Circuit Zandvoort, Zandvoort, Netherlands	1974-06-23
244	1974 French Grand Prix	Circuit de Dijon-Prenois, Prenois, France	1974-07-07
245	1974 British Grand Prix	Brands Hatch Circuit, Kent, Great Britain	1974-07-20
246	1974 German Grand Prix	Nürburgring, Nürburg, Germany	1974-08-04
247	1974 Austrian Grand Prix	Österreichring, Spielberg, Austria	1974-08-18
248	1974 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1974-09-08
249	1974 Canadian Grand Prix	Mosport Park, Bowmanville, Ontario, Canada	1974-09-22
250	1974 United States Grand Prix	Watkins Glen International, Watkins Glen, New York, USA	1974-10-06
251	1975 Argentinian Grand Prix	Autódromo Oscar Alfredo Gálvez, Buenos Aires, Argentina	1975-01-12
252	1975 Brazilian Grand Prix	Interlagos Circuit, São Paulo, Brazil	1975-01-26
253	1975 South African Grand Prix	Kyalami Circuit, Midrand, South Africa	1975-03-01
254	1975 Spanish Grand Prix	Montjuïc Circuit, Barcelona, Spain	1975-04-27
255	1975 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1975-05-11
256	1975 Belgian Grand Prix	Circuit de Spa-Francorchamps, Spa, Belgium	1975-05-25
257	1975 Swedish Grand Prix	Scandinavian Raceway, Anderstorp, Sweden	1975-06-08
258	1975 Dutch Grand Prix	Circuit Zandvoort, Zandvoort, Netherlands	1975-06-22
259	1975 French Grand Prix	Circuit Paul Ricard, Le Castellet, France	1975-07-06
260	1975 British Grand Prix	Silverstone Circuit, Silverstone, Great Britain	1975-07-20
261	1975 German Grand Prix	Nürburgring, Nürburg, Germany	1975-08-03
262	1975 Austrian Grand Prix	Österreichring, Spielberg, Austria	1975-08-17
263	1975 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1975-09-07
264	1975 United States Grand Prix	Watkins Glen International, Watkins Glen, New York, USA	1975-10-05
265	1976 Brazilian Grand Prix	Interlagos Circuit, São Paulo, Brazil	1976-01-25
266	1976 South African Grand Prix	Kyalami Circuit, Midrand, South Africa	1976-03-06
267	1976 United States Grand Prix West	Long Beach Circuit, Long Beach, California, USA	1976-03-28
268	1976 Spanish Grand Prix	Circuito Permanente del Jarama, Madrid, Spain	1976-05-02
269	1976 Belgian Grand Prix	Circuit de Spa-Francorchamps, Spa, Belgium	1976-05-16
270	1976 Monaco Grand Prix	Circuit de Monaco, Monte Carlo, Monaco	1976-05-30
271	1976 Swedish Grand Prix	Scandinavian Raceway, Anderstorp, Sweden	1976-06-13
272	1976 French Grand Prix	Circuit Paul Ricard, Le Castellet, France	1976-07-04
273	1976 British Grand Prix	Brands Hatch Circuit, Kent, Great Britain	1976-07-18
274	1976 German Grand Prix	Nürburgring, Nürburg, Germany	1976-08-01
275	1976 Austrian Grand Prix	Österreichring, Spielberg, Austria	1976-08-15
276	1976 Dutch Grand Prix	Circuit Zandvoort, Zandvoort, Netherlands	1976-08-29
277	1976 Italian Grand Prix	Autodromo Nazionale Monza, Monza, Italy	1976-09-05
