id	name	nationality
1	Alfa Romeo-Sauber	Switzerland
2	AlphaTauri	Italy
3	Alpine F1 Team	France
4	Arrows	Great Britain
5	AGS	France
6	Andrea Moda	Italy
7	ATS	Italy
8	Aston Martin	Great Britain
9	Benetton	Italy
10	BMW Sauber	Switzerland
11	Brabham	Great Britain
12	Brawn GP	Great Britain
13	BRM	Great Britain
14	Caterham F1 Team	Malaysia
15	Connaught	Great Britain
16	Cooper	Great Britain
17	DAMS	France
18	De Tomaso	Italy
19	Eifelland	Germany
20	EMKA	Germany
21	Ensign	Great Britain
22	Ferrari	Italy
23	Force India	India
24	Footwork	Great Britain
25	Haas F1 Team	United States
26	Hesketh	Great Britain
27	HRT	Spain
28	Honda	Japan
29	Jordan	Ireland
30	Ken Tyrrell Racing	Great Britain
31	Life Racing	Italy
32	Lola	Great Britain
33	Lotus	Great Britain
34	Manor Motorsport	Great Britain
35	Marussia F1 Team	Russia
36	McLaren	Great Britain
37	Mercedes	Germany
38	Minardi	Italy
39	OSCA	Italy
40	Onyx	Great Britain
41	Porsche	Germany
42	Prost Grand Prix	France
43	RAM	Great Britain
44	Red Bull	Austria
45	Renault	France
46	Sauber	Switzerland
47	Scuderia Italia	Italy
48	Shadow	Great Britain
49	Simtek	Great Britain
50	Spirit	Great Britain
51	Spyker F1 Team	Netherlands
52	Stewart	Great Britain
53	Super Aguri	Japan
54	Surtees	Great Britain
55	Talbot	Great Britain
56	Tecno	Italy
57	Theodore Racing	Hong Kong
58	Toleman	Great Britain
59	Toro Rosso	Italy
60	Toyota	Japan
61	Vanwall	Great Britain
62	Virgin Racing	Russia
63	Williams	Great Britain
64	Wolf	Canada
65	Zakspeed	Germany